comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,like_count,last_modify_ts,parent_comment_id
7382071650000438067,1718772496,广东,7381426578259037481,所以说，姜萍真的是有天赋在身上的,75750916882,MS4wLjABAAAAQHCjF3xhoNFB6RJPmADNoJiRXOUuX2qwn3LT1rLYNkc,1076700358,,"只要未来可期，今天就值得欣喜
吃好，喝好，睡好，快乐人生！勇敢的去享受吧！
感谢你的关🐷，会回关，毕竟你值得_",长眠于风中,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oEAoAee2GBBMLArBxxIq1gEN4EEIGN6Afi7gGA.jpeg?from=2956013662,10,73,1734607535759,0
7399292300931318537,1722781993,广东,7381426578259037481,8月份了，求成绩[尬笑],101112476790,MS4wLjABAAAAhlHnvk1EUnY264SlncXZcfABSCL0s_D6d92_3CdhNEY,2812220273,dycr1alq9zwo,没有很快乐，也没有不快乐，好像不该这样，但也只能这样。,江叁✨蜂 ✨☞,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_1470ab1b22f445f395487c76f73717f2.jpeg?from=2956013662,5,46,1734607535761,0
7385757307239875382,1719630632,广东,7381426578259037481,对的，这孩子纯朴，别让这世俗给污染了。,2758033679062503,MS4wLjABAAAA9NeDdzxFpKLEXYIEp-nasiami9R31X2CNC5lkwDY66CnhU054ABcqaqSsBtEU4JM,56793811767,56793811767,,清风飞扬,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o46qAYfMeeCh9AfeAACdRwyeAAeAceZzDhg9m4w.jpeg?from=2956013662,9,57,1734607535771,0
7435663608547230499,1731250348,江苏,7381426578259037481,现在呢[捂脸],2736047492957128,MS4wLjABAAAAB2YlUoPgG92TL-wUs7LPpQDheAYqYV5LnzqWRtN1rI9XW1MU1iEhulSShiTnIGpL,22140405078,22140405078,,落幕,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oUiYmAIfmADjgTApEnDACbatcNFa976EwAv0fA.jpeg?from=2956013662,0,8,1734607535782,0
7400310375294026522,1723019032,黑龙江,7381426578259037481,怎么现在没人推姜萍的新闻了？不热了？,1873169476487799,MS4wLjABAAAAKX3mN-McY12e7lWpi68TkPLQ3tRgpAoaeogodcKqknicUI1L_msh7jCVoToCI5ry,3504569708,shenhua12017,,神话—自在如筝,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o8F7BfeGGEU87OMB667gBsf9ZEGAZIDALAADIA.jpeg?from=2956013662,3,97,1734607535791,0
7394989698966618919,1721780219,河北,7381426578259037481,问题是开卷咱都不知道去哪里抄,1731058075445145,MS4wLjABAAAAEEXoY6_C7d-P0UMQ1DwJzQnUO_Ae7IcJify9CfzV06x_jHMvjvKizC7y5FZlzTN4,65486162431,65486162431,,回馈就没看手机截图,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/aweme_default_avatar.png.jpeg?from=2956013662,4,12,1734607535802,0
7388527663771910927,1720275654,河南,7381426578259037481,你说我赢市羽毛球冠军，我信。你说我全球男单第十二，我只会怀疑为什么大白天我就做梦[泪奔],1403416571035348,MS4wLjABAAAAaZJZiRkvQ9YXq0ZAms9BOXcWjaM7US5HOJ9Z0zi9YywJfuTkLE1rFRFAXrfFdhxu,38762928347,38762928347,羽毛球菜狗,呱呱～呱呱,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o8ARrVtYnQFgeqmcA28ANe9F9CbSkAAIDlgaAt.jpeg?from=2956013662,0,94,1734607535812,0
7387257294239449871,1719979876,山东,7381426578259037481,希望国家珍视人才，特别是数学天才！培养成科学家,82252067468,MS4wLjABAAAA33Og3Az2L1oFpp2kcBnMztpeauFOHsjiJ3k2VwFxvXw,3460779964,shunda999963,山东银，东北口音,顺达999,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_f8f15b61b0134ba984f8401d5793a604.jpeg?from=2956013662,7,22,1734607535822,0
7437321534048469799,1731636369,湖北,7381426578259037481,现在还难于自证吗[捂脸][比心],4410864679527070,MS4wLjABAAAA8N6VSC03JoHTNEGuwBHIi362GTlpROUQaQRmsFxAzNxw1aGH9xJd15ukPIgyN0gm,2824964337,beiweixiaomi65,,卑微小蜜,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_10771bd0e12eee6d355e27b0e3178d8c.jpeg?from=2956013662,0,1,1734607535833,0
7382830570042114816,1718949197,安徽,7381426578259037481,我好奇题是谁出的[捂脸],2834991227611004,MS4wLjABAAAAuEs7keDiRUh6pkxWGZ7K1XqrDpzS1d-fBMGBSpuCbp6uEZihfL4ppZmUS9wY98bl,26053219193,26053219193,,─  展开96条回复 ⌵,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_o4qiSFdAEQCIgfQS1GfV4AMA9A8gnDNvAAFpCX.jpeg?from=2956013662,5,17,1734607535843,0
