comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,like_count,last_modify_ts,parent_comment_id
7433109888555975464,1730655792,上海,7432979229110783242,几个月前的两个红人，一个纯爱战士，一个数学天才，如今一个沦为抽象表情包，一个被点名批评作假……只有网友们吃一堑吃一堑,1143911652288992,MS4wLjABAAAAGwQdW_KbLH5bJJA3JoyQDum7Ht5qxeB5i72BcsY83jj5zmtutWRL9YpYHVaPhV_E,83081522210,83081522210,那一天踏出的逐梦的一步，正连接着未来。,星星糖谷小屋,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o4llVIICZIkiWGgXAAgAwBEtPcZViPAEBAwiI.jpeg?from=2956013662,10,163,1734607635512,0
7450075321988956987,1734605836,湖南,7432979229110783242,打有些人脸了[捂脸],102679920281,MS4wLjABAAAAu3ElA9dOqJ1evvADv_KZ0UZLQEtw2G9sRiuediM753w,1242747713,,放心食品,未来的天空,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_3e3b964572124522b7b5e427ee1b3cdf.jpeg?from=2956013662,0,0,1734607635514,0
7433144317088711450,1730663820,西班牙,7432979229110783242,当初合理怀疑的我，现在也没有嘴她。希望她保持初心，做自己。,102553304340,MS4wLjABAAAAEEHtuE45Bz9wOqyehSmHea_XEdsLKnNHlBROSFGOrWQ,1681805869,ru.l0,"文案与生活无关，喜欢点个关注 （谢谢）❤️
不靠追逐，靠互相吸引，斯人若彩虹🌈遇上方知有",投资版（小希277）🏄🏻‍♀️,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_da8839d50277de44cff506c58d63fea2.jpeg?from=2956013662,2,56,1734607635523,0
7432984824304288572,1730626646,黑龙江,7432979229110783242,《真的没想到》但凡学过数学的也不会想不到啊[看],93259371095,MS4wLjABAAAAxwcuhg6w1p6OiG6jRRRfh_FmFY3FcvWweQKG-q_LBoo,575787188,,,Zac,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_316a500074c2767e01d56.jpeg?from=2956013662,2,283,1734607635533,0
7433247729939137339,1730687859,浙江,7432979229110783242,看一个采访她之前初中（或者是高中不记得了）的老师评价她 挺一般普通的 当时就感觉不太对劲 且不说是天才了 如果数学但凡还不错 老师也不会这个评价 （本人初高中大学数学不错 满分考了不知道有多少次了 也跟天才一点边也挂不上）唉 只能对这个世界无语了 还有什么是真的呢？,55859153879,MS4wLjABAAAAnKBLNNlX1NzVk61C6avH54TyeqQby-mwTkQe8h2K5Nk,570135536,,,大帅,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/mosaic-legacy_20aaa00052ed1eb106050.jpeg?from=2956013662,0,8,1734607635543,0
7433364343398564648,1730715012,山东,7432979229110783242,阿里巴巴与数学大盗[流泪],769270458618628,MS4wLjABAAAAv1x2zdmDomVIdN5IxOHJxh5atxInAyrMYNXQR273Pq0,2825361545,I_deserve_it.,数科人数科魂,动次打次!,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_oI6AzCiSuEBT90AAovAgfHiqzWIves4ADAHzdC.jpeg?from=2956013662,0,3,1734607635553,0
7433115361455063823,1730657063,中国台湾,7432979229110783242,第一次考试的成绩是真的还是假的呢？,1011151013425539,MS4wLjABAAAAGXMhuOq1q_oRpoS_UkVMs9YA1BWCo3lJTsOwyhZX-2ql_eGmfTD4PYeZVN3h4QE9,3496693410,bieqifutuotuole,,迷情蝴蝶（臭屁好色版）,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_0e6d1ee448955b71c62f4527b6936222.jpeg?from=2956013662,6,15,1734607635562,0
7433344779470308147,1730710457,河南,7432979229110783242,几个月前的两个红人，一个纯爱战士，一个数学天才，如今一个沦为抽象表情包，一个被点名批评作假……只有网友们吃一堑吃一堑,3543056490445594,MS4wLjABAAAA1iBM4vsXnHvzz_JwKWTSaX6BsJlctYsFNXvjWQG4SDqWo_Oqjsb3jrHwGov_QtqM,35942999404,35942999404,,hhjkjjjj,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c000-ce_owNEAInIa8fDGEY4wNegufEwFAA9BAWl3uEOAE.jpeg?from=2956013662,1,2,1734607635573,0
7433259098550420283,1730690507,河北,7432979229110783242,任何人的成功，都是有迹可循的，没有突如其来的成功,59257111787,MS4wLjABAAAAtDtczluLBlMk2CWlitTZZaeSomVj3T1WgPNCFIeACuE,138722906,131420fyy,,罗斯海,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_18ea9829e129095875712e3d3982c075.jpeg?from=2956013662,3,19,1734607635583,0
7439027241130935051,1732033515,河北,7432979229110783242,他帮学生能考12名也不简单，这老师应重用。,4485618213852384,MS4wLjABAAAAEk6-4YzfvDn75ND73-rCLFXTD5_6SMYStpN4j7243Sxf8WtZJGZ0hmgQ1Q1BaEdq,3836079249,dydgznznhiv0,,义文山,https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_okIAIadeiMTEhZB7JFoMCALmFA9GeBABAHeQRE.jpeg?from=2956013662,0,6,1734607635594,0
